X,Y,Z,U_exact,U_approx
-0.7083333333333334,0.08333333333333333,0.0,0.635304,0.635305
-0.7083333333333334,0.09375,0.0,0.619605,0.619607
-0.7083333333333334,0.10416666666666666,0.0,0.604639,0.604641
-0.7083333333333334,0.11458333333333333,0.0,0.590359,0.590361
-0.7083333333333334,0.125,0.0,0.576724,0.576726
-0.7083333333333334,0.13541666666666666,0.0,0.563693,0.563695
-0.7083333333333334,0.14583333333333331,0.0,0.551229,0.551231
-0.7083333333333334,0.15625,0.0,0.539298,0.5393
-0.7083333333333334,0.16666666666666666,0.0,0.527868,0.527869
-0.7083333333333334,0.17708333333333331,0.0,0.516908,0.516909
-0.7083333333333334,0.1875,0.0,0.50639,0.506391
-0.7083333333333334,0.19791666666666666,0.0,0.49629,0.49629
-0.7083333333333334,0.20833333333333331,0.0,0.486583,0.486583
-0.7083333333333334,0.21875,0.0,0.477246,0.477246
-0.7083333333333334,0.22916666666666666,0.0,0.46826,0.468259
-0.7083333333333334,0.23958333333333331,0.0,0.459604,0.459603
-0.7083333333333334,0.25,0.0,0.451261,0.45126
-0.7083333333333334,0.26041666666666663,0.0,0.443215,0.443213
-0.7083333333333334,0.2708333333333333,0.0,0.435448,0.435447
-0.7083333333333334,0.28125,0.0,0.427948,0.427946
-0.7083333333333334,0.29166666666666663,0.0,0.4207,0.420698
-0.7083333333333334,0.3020833333333333,0.0,0.413691,0.413689
-0.7083333333333334,0.3125,0.0,0.40691,0.406907
-0.7083333333333334,0.32291666666666663,0.0,0.400345,0.400342
-0.7083333333333334,0.3333333333333333,0.0,0.393986,0.393983
-0.7083333333333334,0.34375,0.0,0.387823,0.387821
-0.7083333333333334,0.35416666666666663,0.0,0.381847,0.381845
-0.7083333333333334,0.3645833333333333,0.0,0.37605,0.376047
-0.7083333333333334,0.375,0.0,0.370422,0.370419
-0.7083333333333334,0.38541666666666663,0.0,0.364956,0.364954
-0.7083333333333334,0.3958333333333333,0.0,0.359645,0.359643
-0.7083333333333334,0.40625,0.0,0.354483,0.354481
-0.7083333333333334,0.41666666666666663,0.0,0.349462,0.349461
-0.7083333333333334,0.4270833333333333,0.0,0.344577,0.344576
-0.7083333333333334,0.4375,0.0,0.339822,0.339821
-0.7083333333333334,0.44791666666666663,0.0,0.335191,0.33519
-0.7083333333333334,0.4583333333333333,0.0,0.330679,0.330679
-0.7083333333333334,0.46875,0.0,0.326282,0.326282
-0.7083333333333334,0.47916666666666663,0.0,0.321994,0.321994
-0.7083333333333334,0.4895833333333333,0.0,0.317812,0.317812
-0.7083333333333334,0.5,0.0,0.313731,0.313731
-0.6666666666666667,0.0,0.0,0.866025,0.866025
-0.6666666666666667,0.010416666666666666,0.0,0.843329,0.843328
-0.6666666666666667,0.020833333333333332,0.0,0.821417,0.821416
-0.6666666666666667,0.03125,0.0,0.800316,0.800316
-0.6666666666666667,0.041666666666666664,0.0,0.780033,0.780034
-0.6666666666666667,0.05208333333333333,0.0,0.760561,0.760563
-0.6666666666666667,0.0625,0.0,0.741883,0.741885
-0.6666666666666667,0.07291666666666666,0.0,0.723975,0.723977
-0.6666666666666667,0.08333333333333333,0.0,0.706808,0.706811
-0.6666666666666667,0.09375,0.0,0.690353,0.690356
-0.6666666666666667,0.10416666666666666,0.0,0.674578,0.674581
-0.6666666666666667,0.11458333333333333,0.0,0.659451,0.659453
-0.6666666666666667,0.125,0.0,0.644939,0.644942
-0.6666666666666667,0.13541666666666666,0.0,0.631013,0.631016
-0.6666666666666667,0.14583333333333331,0.0,0.617643,0.617645
-0.6666666666666667,0.15625,0.0,0.604799,0.604801
-0.6666666666666667,0.16666666666666666,0.0,0.592454,0.592456
-0.6666666666666667,0.17708333333333331,0.0,0.580582,0.580584
-0.6666666666666667,0.1875,0.0,0.569159,0.569161
-0.6666666666666667,0.19791666666666666,0.0,0.558162,0.558163
-0.6666666666666667,0.20833333333333331,0.0,0.547567,0.547568
-0.6666666666666667,0.21875,0.0,0.537355,0.537355
-0.6666666666666667,0.22916666666666666,0.0,0.527505,0.527506
-0.6666666666666667,0.23958333333333331,0.0,0.518001,0.518
-0.6666666666666667,0.25,0.0,0.508823,0.508822
-0.6666666666666667,0.26041666666666663,0.0,0.499956,0.499955
-0.6666666666666667,0.2708333333333333,0.0,0.491385,0.491384
-0.6666666666666667,0.28125,0.0,0.483095,0.483093
-0.6666666666666667,0.29166666666666663,0.0,0.475072,0.47507
-0.6666666666666667,0.3020833333333333,0.0,0.467305,0.467302
-0.6666666666666667,0.3125,0.0,0.459779,0.459777
-0.6666666666666667,0.32291666666666663,0.0,0.452486,0.452483
-0.6666666666666667,0.3333333333333333,0.0,0.445413,0.44541
-0.6666666666666667,0.34375,0.0,0.43855,0.438548
-0.6666666666666667,0.35416666666666663,0.0,0.431889,0.431886
-0.6666666666666667,0.3645833333333333,0.0,0.42542,0.425417
-0.6666666666666667,0.375,0.0,0.419134,0.419132
-0.6666666666666667,0.38541666666666663,0.0,0.413024,0.413022
-0.6666666666666667,0.3958333333333333,0.0,0.407081,0.40708
-0.6666666666666667,0.40625,0.0,0.4013,0.401299
-0.6666666666666667,0.41666666666666663,0.0,0.395672,0.395673
-0.6666666666666667,0.4270833333333333,0.0,0.390191,0.390193
-0.6666666666666667,0.4375,0.0,0.384852,0.384856
-0.6666666666666667,0.44791666666666663,0.0,0.379649,0.379654
-0.6666666666666667,0.4583333333333333,0.0,0.374575,0.374582
-0.6666666666666667,0.46875,0.0,0.369626,0.369635
-0.6666666666666667,0.47916666666666663,0.0,0.364796,0.364808
-0.6666666666666667,0.4895833333333333,0.0,0.360082,0.360097
-0.6666666666666667,0.5,0.0,0.355478,0.355496
